fips,year,cover_crop_ratio
19149,2017,0.1993910838938217
19149,2022,0.14427773721501805
19151,2017,0.10869414311227227
19151,2022,0.07349128109498342
19153,2017,0.06697801749112417
19153,2022,0.05992806923122923
19155,2017,0.049909881716130304
19155,2022,0.03798832461470145
19157,2017,0.09150361520031025
19157,2022,0.0815839972088155
19159,2017,0.4063797659494149
19159,2022,0.35345392250717994
19161,2017,0.08202295347397495
19161,2022,0.07478438855900131
19163,2017,0.1409423432564686
19163,2022,0.13851454748294484
19165,2017,0.06508611894163259
19165,2022,0.05861341465962024
19167,2017,0.09965631762268998
19167,2022,0.07775308546189101
19169,2017,0.08223638664088424
19169,2022,0.08123443923339703
19171,2017,0.07907265006312407
19171,2022,0.07567707518622602
19173,2017,0.1586631907661413
19173,2022,0.11552459529338142
19175,2017,0.19899255973011692
19175,2022,0.17929483329286527
19177,2017,1.0442585182490602
19177,2022,0.7449293830306892
19179,2017,0.27498124111946615
19179,2022,0.33324624118191964
19181,2017,0.28300088725313005
19181,2022,0.22877362336328208
19183,2017,0.10959950112628378
19183,2022,0.1042549080803127
19185,2017,1.2653540993241257
19185,2022,0.6813656451847895
19187,2017,0.054644323322821556
19187,2022,0.058412576814828386
19189,2017,0.09452932911837021
19189,2022,0.10595156284219032
19191,2017,0.16667956955949523
19191,2022,0.13340940426948128
19193,2017,0.07739558291581478
19193,2022,0.06034460511488271
19195,2017,0.10202945253355765
19195,2022,0.14144000645200314
19197,2017,0.06600498179727918
19197,2022,0.054303231100308096
